교육청,소재구,학교명,홈페이지 주소,설립,우편번호,주소,전화번호,1학년 학급수,2학년 학급수,3학년 학급수,4학년 학급수,5학년 학급수,6학년 학급수,복식 학급수,특수 학급수,1학년 학생수 계,1학년 여학생 수,2학년 학생수 계,2학년 여학생 수,3학년 학생수 계,3학년 여학생 수,4학년 학생수 계,4학년 여학생 수,5학년 학생수 계,5학년 여학생 수,6학년 학생수 계,6학년 여학생 수,복식 학급 학생수 계,복식 학급 여학생수,특수 학급 학생수 계,특수 학급 여학생수,학급당 평균 학생수,교원수 계,여교원수 계,정규 교원수 계,정규 여교원수,기간제 교원수 계,기간제 여교원수,직원수,여직원수,보통 교실 수,비고
서부,은평구,서울증산초등학교,http://jeungsancho.es.kr,공립,122-941,서울특별시 은평구 증산서길 61 (증산동증산초등학교),02-373-6305,6,7,6,7,7,7,0,1,159,74,143,69,144,68,159,74,177,85,172,92,0,0,8,2,23.5,62,52,61,51,1,1,4,2,43,
서부,은평구,서울진관초등학교,http://www.jingwan.es.kr,공립,122-200,서울특별시 은평구 진관4로 78-16 (진관동진관초등학교),02-386-3365,7,6,6,6,7,7,0,1,189,93,173,87,170,69,164,73,182,83,184,89,0,0,3,1,26.6,57,47,57,47,0,0,4,2,40,
서부,서대문구,서울창서초등학교,http://scs.es.kr,공립,120-834,서울특별시 서대문구 연세로5나길 30-3 (창천동서울창서초등학교),02-332-9532,2,2,1,3,2,2,0,2,36,21,52,25,23,7,55,21,47,23,37,11,0,0,9,2,18.5,26,22,26,22,0,0,6,4,14,
서부,마포구,서울창천초등학교,http://www.changchon.es.kr,공립,121-806,서울 마포구 백범로 1  1길 56번지 서울창천초등학교 (노고산동),02-715-4667,2,2,2,2,2,2,0,2,38,20,42,19,35,14,28,14,38,22,43,22,0,0,5,0,16.4,32,25,30,24,2,1,4,3,,
서부,마포구,서울하늘초등학교,http://www.sky.es.kr/,공립,121-844,서울특별시 마포구 월드컵북로  502-14,02-305-7762,9,6,7,8,4,6,0,2,240,107,174,87,201,98,207,109,107,54,140,69,0,0,10,1,25.7,68,57,65,55,3,2,5,3,42,
서부,마포구,서울한서초등학교,http://www.hanseo.es.kr,공립,121-871,서울특별시 마포구 대흥로24바길 27 (염리동한서초등학교),02-716-4914,2,2,2,2,2,2,0,2,30,15,30,11,36,17,38,17,35,20,36,17,0,0,5,2,15,25,21,24,20,1,1,4,2,14,
서부,서대문구,서울홍연초등학교,http://www.hyc.es.kr,공립,120-847,서울특별시 서대문구 백련사길 55  서울홍연초등학교 (홍은동서울홍연초등학교),02-394-1802,7,7,7,7,7,7,0,2,161,86,147,73,154,69,167,81,169,79,159,73,0,0,10,3,22,76,65,73,62,3,3,5,3,44,
서부,서대문구,서울홍은초등학교,http://hongeun.es.kr,공립,120-863,서울특별시 서대문구 세검정로 105 (홍제동서울홍은초등학교),02-391-2196,3,4,3,4,4,5,0,2,76,36,80,41,78,41,91,42,92,41,105,52,0,0,12,3,21.4,42,35,42,35,0,0,5,3,25,
서부,서대문구,서울홍제초등학교,www.hongje.es.kr,공립,120-100,서울특별시 서대문구 홍은중앙로 13 (홍은동),02-396-7235,6,7,7,7,9,8,0,2,158,73,172,72,184,93,171,79,221,107,214,99,0,0,8,3,24.5,75,67,74,66,1,1,9,5,51,
서부,서대문구,경기초등학교,http://www.kyonggicho.es.kr,사립,120-012,서울특별시 서대문구 경기대로9길  10 (충정로2가경기초등학교),02-363-2908,4,4,4,4,4,4,0,0,96,48,120,60,119,57,119,58,120,58,117,53,0,0,0,0,28.8,27,14,27,14,0,0,6,3,24,
서부,서대문구,명지초등학교,http://www.myongji.net,사립,120-851,서울특별시 서대문구 명지2길 32-20 (홍은동명지초등학교),02-372-2872,5,5,5,5,5,5,0,0,121,61,120,61,120,59,120,64,120,54,114,57,0,0,0,0,23.8,39,29,34,25,5,4,10,4,30,
서부,은평구,선일초등학교,http://www.sunil.es.kr,사립,122-802,서울특별시 은평구 갈현로29길 27  선일초등학교,02-355-0160,3,3,3,3,3,3,0,0,85,42,90,47,90,48,82,45,80,48,79,41,0,0,0,0,28.1,23,13,20,12,3,1,5,3,18,
서부,은평구,알로이시오초등학교,http://www.aloysius.es.kr,사립,122-906,서울특별시 은평구 백련산로14길 20-11 (응암동서울특별시립소년의집),02-387-5448,0,0,1,2,2,3,0,2,0,0,0,0,16,10,28,11,36,20,53,25,0,0,12,4,14.5,16,8,12,5,4,3,2,1,10,
서부,은평구,예일초등학교,http://www.yale.es.kr,사립,122-819,서울특별시 은평구 연서로 117 (구산동),02-380-0777,4,5,5,4,4,4,0,0,100,51,120,55,104,58,92,48,98,50,95,46,0,0,0,0,23.4,29,22,24,17,5,5,8,3,26,
서부,은평구,은혜초등학교,http://www.eunhye.es.kr,사립,122-861,서울특별시 은평구 통일로78가길 20 (불광동학교법인은혜학원),02-355-3912,2,2,2,2,2,2,0,0,62,30,44,20,47,25,46,24,21,9,23,10,0,0,0,0,20.3,14,6,14,6,0,0,4,2,12,
서부,서대문구,이화여자대학교사범대학부속초등학교,http://www.ewha.net,사립,120-160,서울특별시 서대문구 성산로 512-39 (대신동이화여대부속초등학교),02-362-6179,4,4,4,4,4,4,0,0,104,52,104,52,104,52,104,52,104,52,120,60,0,0,0,0,26.7,45,41,32,29,13,12,6,3,25,
서부,서대문구,추계초등학교,http://www.chugye.es.kr,사립,120-763,서울특별시 서대문구 북아현로11가길 7(북아현동),02-312-7701,2,2,2,2,2,2,0,0,60,30,59,30,53,31,40,21,44,26,36,18,0,0,0,0,24.3,16,10,14,9,2,1,3,1,12,
서부,은평구,충암초등학교,http://www.choongam.es.kr,사립,122-010,서울 은평구 가좌로5길 5  충암초등학교 (응암동충암고등학교),02-302-2430,5,5,4,5,4,4,0,0,142,58,134,54,118,51,126,57,107,42,101,41,0,0,0,0,27,30,14,30,14,0,0,4,1,27,
서부,마포구,홍익대학교사범대학부속초등학교,http://www.hongik.es.kr,사립,121-847,서울특별시 마포구 성미산로 51 (성산동),02-336-3500,3,3,3,3,3,3,0,0,84,41,90,45,96,50,93,49,88,50,70,36,0,0,0,0,28.9,21,12,21,12,0,0,6,4,21,
남부,금천구,서울가산초등학교,www.gasan.es.kr,공립,153-806,서울특별시 금천구 남부순환로 1304-11  서울가산초등학교 (독산동),02-864-3206,4,3,3,3,3,2,0,0,86,47,70,36,65,34,70,31,78,40,50,21,0,0,0,0,23.3,29,24,29,24,0,0,5,3,19,
남부,구로구,서울개명초등학교,http://kaemyong.es.kr,공립,152-815,서울특별시 구로구 개봉로1다길 16-9 (개봉동개명초등학교),02-2684-5117,6,4,4,5,4,4,0,0,153,67,94,47,98,53,121,57,106,58,100,52,0,0,0,0,24.9,49,43,47,42,2,1,6,3,27,
남부,구로구,서울개봉초등학교,seoulgaebong.es.kr,공립,152-811,서울특별시 구로구 개봉로16길 30-11 (개봉동개봉초등학교),02-2612-6058,9,9,8,9,8,8,0,2,251,118,250,123,207,91,236,135,207,96,206,101,0,0,11,4,25.8,84,70,82,68,2,2,8,5,62,
남부,구로구,서울개웅초등학교,http://www.gaewoong.es.kr,공립,152-090,서울특별시 구로구 개봉로11길 98 (개봉동개웅초등학교),02-2683-1291,6,5,5,5,5,5,0,0,140,72,123,67,115,53,115,60,121,52,122,59,0,0,0,0,23.7,50,44,50,44,0,0,4,3,31,
남부,구로구,서울고산초등학교,http://www.kohsan.es.kr,공립,152-826,서울특별시 구로구 중앙로 6  고산초등학교 (고척동고산초등학교),02-2617-0591,4,4,4,4,4,5,0,0,104,58,88,43,85,36,109,43,107,55,109,49,0,0,0,0,24.1,43,35,42,34,1,1,4,3,25,
남부,구로구,서울고원초등학교,http://www.gowon.es.kr,공립,152-826,서울특별시 구로구 경인로46길 13 (고척동서울고원초등학교),02-2066-0960,6,5,5,5,6,6,0,0,155,78,133,69,128,63,134,63,137,71,133,67,0,0,0,0,24.8,50,38,48,38,2,0,5,2,34,
남부,구로구,서울고척초등학교,http://gocheok.es.kr,공립,152-828,서울특별시 구로구 경서로 31  서울고척초등학교 (고척동서울고척초등학교),02-2618-6211,4,4,4,4,4,3,0,2,95,46,84,40,88,40,93,46,92,43,76,37,0,0,16,5,21.8,42,36,41,35,1,1,4,3,25,
남부,구로구,서울구로남초등학교,http://www.guronam.es.kr,공립,152-849,서울특별시 구로구 디지털로27길 76 (구로동구로남초등학교),02-895-0501,5,5,5,6,5,6,0,2,110,57,116,54,106,50,122,70,116,52,133,64,0,0,11,4,21,55,47,55,47,0,0,6,2,41,
남부,구로구,서울구로초등학교,http://www.guro.es.kr,공립,152-857,서울특별시 구로구 구로중앙로27나길 9  서울구로초등학교 (구로동구로초등학교),02-861-1941,5,5,4,4,5,4,0,2,117,53,116,55,87,41,96,51,128,60,101,51,0,0,7,4,22.5,49,44,48,43,1,1,5,3,29,
남부,구로구,서울구일초등학교,http://www.guil.es.kr,공립,152-868,서울특별시 구로구 구일로 68 (구로동구일초등학교),02-869-9101,9,9,7,8,8,8,0,1,223,122,243,106,170,86,204,86,202,97,195,97,0,0,7,1,24.9,78,68,78,68,0,0,8,4,55,
남부,금천구,서울금동초등학교,http://www.geum-dong.es.kr/,공립,153-032,서울특별시 금천구 금하로 30길 53(시흥동),02-809-2125,7,7,5,6,6,6,0,0,185,90,194,99,155,84,161,70,175,80,162,82,0,0,0,0,27.9,59,51,58,50,1,1,6,3,37,
남부,금천구,서울금산초등학교,http://www.gumsan.es.kr,공립,153-850,서울특별시 금천구 시흥대로24길 57 (시흥동서울금산초등학교),02-806-0254,3,3,3,3,3,3,0,0,73,39,65,28,52,28,57,25,65,39,72,30,0,0,0,0,21.3,32,26,31,25,1,1,4,3,18,
남부,금천구,서울금천초등학교,http://www.kumcheon.es.kr,공립,153-841,서울특별시 금천구 탑골로5길 60 (시흥동),02-802-4970,2,2,2,2,2,2,0,1,34,19,24,11,32,15,34,20,43,21,40,20,0,0,9,3,16.6,28,24,28,24,0,0,3,1,15,
남부,영등포구,서울당산초등학교,http://www.dangsan.es.kr,공립,150-867,서울특별시 영등포구 선유로55길 32 (양평동4가당산초등학교),02-2633-3850,4,4,4,4,4,4,0,2,109,49,86,45,92,48,87,48,87,45,97,54,0,0,4,1,21.6,42,37,42,37,0,0,5,3,40,
남부,영등포구,서울당서초등학교,http://dangseo.es.kr/,공립,150-045,서울특별시 영등포구 당산로 187 (당산동5가),02-2675-4532,9,8,7,8,8,7,0,0,221,104,204,94,170,92,206,110,211,94,173,96,0,0,0,0,25.2,74,64,74,64,0,0,6,2,47,
남부,영등포구,서울당중초등학교,http://www.dangjung.es.kr,공립,150-103,서울특별시 영등포구 선유로 131 (양평동3가당중초등학교),02-2633-1416,5,5,5,5,4,4,0,2,130,61,110,57,104,51,110,46,102,50,87,37,0,0,9,3,21.7,45,38,43,37,2,1,5,4,42,
남부,영등포구,서울대길초등학교,http://idaegil.es.kr,공립,150-860,서울특별시 영등포구 대방천로 206 (신길동대길초등학교),02-842-4500,6,5,5,5,6,6,0,1,135,61,114,63,116,59,134,66,141,67,138,59,0,0,7,0,23.1,54,49,53,48,1,1,5,3,34,
남부,영등포구,서울대동초등학교,http://www.sdaedong.es.kr,공립,150-814,서울특별시 영등포구 대림로21길 6 (대림동대동초등학교),02-833-7708,4,3,4,4,4,4,0,2,84,37,74,35,80,44,101,38,79,30,95,33,0,0,6,2,20.8,46,40,46,40,0,0,6,3,34,
동부,동대문구,서울군자초등학교,http://www.kunja.es.kr,공립,130-837,서울특별시 동대문구 한천로6길 21  서울군자초등학교 (장안동서울군자초등학교),02-2244-0488,3,3,3,4,3,3,0,2,75,27,71,39,61,30,71,32,67,30,71,31,0,0,9,2,20.2,38,28,36,26,2,2,5,3,28,
동부,동대문구,서울답십리초등학교,http://www.dapsimni.es.kr,공립,130-803,서울특별시 동대문구 전농로3길 23 (답십리동답십리초등학교),02-2242-9256,6,6,5,5,6,6,0,2,141,75,129,69,114,49,125,70,135,71,121,57,0,0,7,4,21.4,51,44,50,43,1,1,6,3,36,
동부,동대문구,서울동답초등학교,http://www.dongdab.es.kr,공립,130-800,서울특별시 동대문구 답십리로60길 12 (답십리동서울동답초등학교),02-2213-9820,4,3,4,3,5,4,0,0,87,48,81,40,95,52,78,42,108,54,90,47,0,0,0,0,23.4,41,37,41,37,0,0,7,5,23,
동부,중랑구,서울동원초등학교,http://www.dongwon.es.kr,공립,131-230,서울특별시 중랑구 송림길 114 (망우동동원초등학교),02-438-3141,3,4,3,3,3,4,0,1,83,41,87,42,81,45,71,33,65,39,75,36,0,0,3,2,22.1,34,29,33,28,1,1,5,3,21,
동부,중랑구,서울망우초등학교,http://mangwoo.es.kr,공립,131-802,서울 중랑구 망우로72길 49 (망우동서울망우초교),02-2209-6323,4,4,4,4,5,4,0,2,86,50,84,34,80,36,97,40,105,50,95,40,0,0,8,7,20.6,42,33,42,33,0,0,6,5,32,
동부,중랑구,서울면남초등학교,http://www.myunnam.es.kr,공립,131-829,서울특별시 중랑구 면목로30나길 38 (면목동면남초등학교),02-433-0074,3,3,3,3,4,4,0,2,77,35,68,28,65,22,75,40,88,46,83,45,0,0,4,1,20.9,37,31,35,30,2,1,4,3,25,
동부,중랑구,서울면동초등학교,http://myeondong.es.kr,공립,131-818,서울특별시 중랑구 면목로57길 32  서울면동초등학교 (면목동면동초등학교),02-434-2697,9,8,8,8,8,9,0,2,206,98,203,104,198,95,180,87,202,103,230,112,0,0,10,5,23.6,80,69,78,67,2,2,6,4,52,
동부,중랑구,서울면목초등학교,http://www.myeonmok.es.kr,공립,131-817,서울특별시 중랑구 면목로 434 (면목동면목초등학교),02-491-4341,7,6,5,7,7,8,0,2,157,74,160,77,108,51,154,81,159,70,178,97,0,0,12,5,22.1,67,60,65,58,2,2,7,5,46,
동부,중랑구,서울면북초등학교,http://www.myeonbuk.es.kr,공립,131-801,서울특별시 중랑구 용마공원로5길 32 (망우동서울면북초등학교),02-433-3338,1,2,2,2,2,2,0,0,21,11,38,17,31,17,44,22,33,23,37,18,0,0,0,0,18.5,21,19,21,19,0,0,4,2,11,
동부,중랑구,서울면일초등학교,http://www.myeonil.es.kr,공립,131-806,서울특별시 중랑구 용마산로100길 13 (망우동면일초등학교),02-437-8112,6,6,6,7,8,7,0,3,161,91,160,75,152,77,166,83,185,105,166,89,0,0,17,4,23.4,63,57,62,56,1,1,5,3,45,
동부,중랑구,서울면중초등학교,http://www.myunjoong.es.kr,공립,131-812,서울특별시 중랑구 용마산로70길 43  서울면중초등학교 (면목동면중초등학교),02-434-0386,3,3,3,3,5,3,0,1,58,29,62,27,63,30,62,26,106,58,68,29,0,0,5,1,20.2,36,32,36,32,0,0,4,3,28,
동부,중랑구,서울묵동초등학교,http://www.mookdong.es.kr,공립,131-875,서울특별시 중랑구 동일로138길 27 (중화동묵동초등학교),02-433-3140,4,4,4,4,4,5,0,2,88,41,90,48,81,43,92,47,102,51,108,49,0,0,9,1,21.1,43,37,42,36,1,1,5,3,27,
동부,중랑구,서울묵현초등학교,http://www.mh.es.kr,공립,131-852,서울특별시 중랑구 동일로157길 75 (묵동묵현초등학교),02-977-9462,5,5,4,5,5,4,0,2,116,62,120,55,91,39,111,54,97,41,90,39,0,0,9,4,21.1,48,39,46,38,2,1,5,2,34,
동부,동대문구,서울배봉초등학교,http://www.baebong.es.kr,공립,130-848,서울특별시 동대문구 사가정로 193 (전농동서울배봉초등학교),02-2249-1653,5,5,5,5,5,5,0,2,112,47,109,60,107,53,106,50,116,63,128,71,0,0,6,2,21.4,46,41,45,40,1,1,5,2,33,
동부,중랑구,서울봉화초등학교,http://www.bongwha.es.kr,공립,131-872,서울특별시 중랑구 신내로15길 110 (신내동봉화초등학교),02-3421-0091,6,6,5,7,7,6,0,2,139,68,136,61,123,52,154,76,165,76,146,65,0,0,12,5,22.4,62,58,59,55,3,3,4,3,41,
동부,중랑구,서울상봉초등학교,http://www.sang-bong.es.kr,공립,131-862,서울특별시 중랑구 동일로126가길 11 (상봉동상봉초등학교),02-2209-7811,5,5,6,4,5,6,0,2,127,64,114,53,132,67,112,58,131,64,142,66,0,0,9,2,23.2,52,43,52,43,0,0,5,2,32,
동부,중랑구,서울새솔초등학교,http://www.saesol.es.kr/index/index.do,공립,131-865,서울특별시 중랑구 신내역로1길 164 (신내동),02-490-2502,4,3,3,3,3,2,0,1,76,33,62,26,62,26,51,21,52,23,28,11,0,0,4,2,17.6,31,25,31,25,0,0,5,2,34,신설
동부,중랑구,서울신내초등학교,http://www.sinne.es.kr,공립,131-868,서울특별시 중랑구 용마산로125나길 22 (신내동신내초등학교),02-2207-0501,7,6,5,6,5,5,0,2,190,89,156,75,132,61,168,92,114,59,135,66,0,0,10,2,25.1,51,45,50,44,1,1,5,2,36,
동부,동대문구,서울신답초등학교,http://www.shindap.es.kr,공립,130-804,서울특별시 동대문구 천호대로 177 (답십리동서울신답초등학교),02-2212-1485,4,4,3,3,4,5,0,2,94,40,88,42,80,39,81,40,113,46,117,56,0,0,5,0,23.1,39,33,39,33,0,0,5,2,23,
동부,중랑구,서울신묵초등학교,http://www.sinmook.es.kr,공립,131-853,서울특별시 중랑구 동일로149길 46 (묵동신묵초등학교),02-976-6212,4,4,4,4,4,4,0,0,86,39,80,40,81,32,99,43,91,45,93,45,0,0,0,0,22.1,38,33,38,33,0,0,4,2,24,
동부,중랑구,서울신현초등학교,http://www.shinhyun.es.kr,공립,131-865,서울특별시 중랑구 봉화산로 188 (신내동신현초등학교),02-3421-0142,5,4,4,5,5,6,0,1,118,65,86,38,102,58,118,62,129,74,140,59,0,0,5,2,23.3,47,41,45,40,2,1,4,2,30,
동부,동대문구,서울안평초등학교,http://anpyeong.es.kr,공립,130-841,서울특별시 동대문구 장한로14길 61 (장안1동) (장안동서울안평초등학교),02-2214-0258,8,7,6,7,7,6,0,1,212,113,170,78,163,81,165,97,168,88,149,76,0,0,6,4,24.6,63,58,62,57,1,1,5,2,42,
동부,동대문구,서울용두초등학교,http://www.yongdu.es.kr,공립,130-823,서울특별시 동대문구 천호대로13길 43 (용두동서울용두초등학교),02-927-4892,4,3,4,4,3,4,0,1,94,46,74,32,83,39,88,38,68,29,89,42,0,0,2,0,21.7,40,34,40,34,0,0,5,2,23,
동부,중랑구,서울원묵초등학교,http://www.wonmuk.es.kr,공립,131-846,서울특별시 중랑구 숙선옹주로 109  서울원묵초등학교 (묵동원묵초등학교),02-3421-2100,7,7,6,7,7,7,0,0,173,90,188,85,169,84,174,103,178,90,164,82,0,0,0,0,25.5,58,50,57,49,1,1,4,3,42,
동부,동대문구,서울이문초등학교,http://www.imun.es.kr,공립,130-827,서울특별시 동대문구 신이문로 16 (이문동서울이문초등학교),02-957-8141,7,5,5,7,6,7,0,2,164,77,126,59,126,54,180,80,152,83,183,103,0,0,10,3,24.1,58,50,57,49,1,1,6,3,49,
동부,동대문구,서울장평초등학교,http://www.jang-pyung.es.kr,공립,130-859,서울특별시 동대문구 답십리로  69길 27 (전농동),02-2243-6108,7,7,6,5,6,6,0,2,206,79,214,99,180,79,159,80,171,78,144,62,0,0,9,1,27.8,59,55,58,54,1,1,6,2,42,
동부,동대문구,서울전곡초등학교,http://jeongok.es.kr,공립,130-853,서울특별시 동대문구 전농로 172 (전농동서울전곡초등학교),02-2242-6548,5,5,5,5,7,7,0,2,108,57,107,54,115,53,121,54,160,84,151,83,0,0,5,3,21.3,58,51,56,49,2,2,5,2,36,
동부,동대문구,서울전농초등학교,http://www.jeonnong.es.kr,공립,130-854,서울특별시 동대문구 사가정로 66 (전농동서울전농초등학교),02-2244-0291,5,4,4,4,5,5,0,2,129,60,98,44,86,43,103,44,115,55,116,62,0,0,6,3,22.5,46,43,46,43,0,0,4,2,29,
동부,동대문구,서울전동초등학교,http://www.jeon-dong.es.kr,공립,130-850,서울특별시 동대문구 전농로16길 61 (전농동서울전동초등학교),02-2214-6574,6,5,5,6,6,6,0,2,147,67,122,60,112,56,155,79,151,73,129,64,0,0,6,1,22.8,55,49,54,48,1,1,5,2,36,
동부,동대문구,서울종암초등학교,http://www.jongam.es.kr,공립,130-864,서울특별시 동대문구 무학로44길 25 (제기동서울종암초등학교),02-924-4125,5,5,4,5,5,5,0,2,127,58,117,65,104,55,109,58,114,61,108,48,0,0,5,3,22.1,51,45,49,44,2,1,5,3,34,
동부,중랑구,서울중곡초등학교,http://www.cg.es.kr,공립,131-830,서울특별시 중랑구 면목로23길 20 (면목동중곡초등학교),02-2209-2543,9,9,7,8,9,8,0,2,221,105,223,111,185,85,195,101,218,104,198,89,0,0,9,3,24,82,70,80,68,2,2,8,2,52,
동부,중랑구,서울중랑초등학교,http://www.jungrang.es.kr,공립,131-824,서울특별시 중랑구 봉우재로6길 26 (면목동중랑초등학교),02-437-4147,5,5,5,6,6,6,0,2,137,60,122,51,118,64,151,79,157,78,152,87,0,0,6,2,24.1,54,48,54,48,0,0,5,3,42,
동부,중랑구,서울중목초등학교,http://www.joongmok.es.kr,공립,131-820,서울특별시 중랑구 동일로 665 (면목동중목초등학교),02-2209-0015,4,4,4,5,5,5,0,1,103,48,100,47,85,32,100,48,108,53,114,55,0,0,6,1,22,50,44,49,43,1,1,5,1,36,
동부,중랑구,서울중화초등학교,http://www.junghwa.es.kr,공립,131-870,서울특별시 중랑구 신내로7가길 22 (신내동중화초등학교),02-433-1986,10,7,9,9,8,8,0,2,271,125,198,96,238,107,255,124,230,117,230,110,0,0,11,1,27,79,66,77,64,2,2,4,2,54,
동부,중랑구,서울중흥초등학교,http://www.jung-heung.es.kr,공립,131-876,서울 중랑구 봉화산로 82 (중화동서울중흥초등학교),02-495-2912,3,3,3,3,4,4,0,1,53,24,55,27,63,27,73,38,90,44,91,46,0,0,2,1,20.3,37,34,37,34,0,0,4,3,20,
동부,동대문구,서울청량초등학교,http://www.chongryang.es.kr,공립,130-872,서울특별시 동대문구 회기로25길 31 (회기동서울청량초등학교),02-962-1341,8,7,5,7,8,7,0,1,196,85,175,87,126,67,158,64,183,88,176,83,0,0,8,2,23.8,65,56,63,54,2,2,5,3,52,
